Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol,Anomalie_ISO,Anomalie_DBSCAN,Anomalie_Final
2025-03-15,2,Hobart,HBA,10,Melbourne - Tullamarine Airport,MEL,0,Qantas,1236.0,QF1236,1,0,1
2025-03-15,2,Singapore Changi,SIN,25,Newark Liberty International,EWR,0,Singapore Airlines,22.0,SQ22,1,0,1
2025-03-15,2,Singapore Changi,SIN,14,Civil,TRZ,0,Air India Express,681.0,IX681,1,0,1
2025-03-15,2,Shenzhen,SZX,10,Suvarnabhumi International,BKK,0,Thai Airways International,6455.0,TG6455,1,0,1
2025-03-15,2,Shenzhen,SZX,10,Suvarnabhumi International,BKK,0,Air China LTD,7979.0,CA7979,1,0,1
2025-03-15,2,Mildura,MQL,1,Essendon,MEB,2,Aeromexico,314.0,AM314,1,0,1
2025-03-15,2,Auckland International,AKL,6,Kerikeri/Bay of Islands,KKE,0,Singapore Airlines,4388.0,SQ4388,1,0,1
2025-03-15,2,Auckland International,AKL,6,Kerikeri/Bay of Islands,KKE,0,Qantas,8524.0,QF8524,1,0,1
2025-03-15,2,Sardar Vallabhbhai Patel International Airport,AMD,15,Indira Gandhi International,DEL,0,SpiceJet,1267.0,SG1267,1,0,1
2025-03-15,2,Burnie Wynyard,BWT,2,Melbourne - Tullamarine Airport,MEL,0,Rex Regional Express,3554.0,ZL3554,1,0,1
2025-03-15,2,Auckland International,AKL,6,Kerikeri/Bay of Islands,KKE,0,Air New Zealand,5266.0,NZ5266,1,0,1
2025-03-15,2,Christchurch International,CHC,6,Palmerston North,PMR,0,Air New Zealand,5178.0,NZ5178,1,0,1
2025-03-15,2,Christchurch International,CHC,2,Auckland International,AKL,0,Jetstar,228.0,JQ228,1,0,1
2025-03-15,2,Kuala Lumpur International Airport (klia),KUL,11,Singapore Changi,SIN,0,Scoot,451.0,TR451,1,0,1
2025-03-15,2,Kuala Lumpur International Airport (klia),KUL,17,Chengdu Tianfu International Airport,TFU,0,Sichuan Airlines,3994.0,3U3994,1,0,1
2025-03-15,2,Launceston,LST,2,Melbourne - Tullamarine Airport,MEL,0,Virgin Australia,1361.0,VA1361,1,0,1
2025-03-15,2,Chu-Bu Centrair International (Central Japan International),NGO,1,Seoul (Incheon),ICN,0,Japan Airlines,6749.0,JL6749,1,0,1
2025-03-15,2,Paraparaumu,PPQ,4,Auckland International,AKL,0,Air Chathams,643.0,CV643,1,0,1
2025-03-15,2,Wellington International,WLG,25,Nelson,NSN,8,Air New Zealand,5315.0,NZ5315,1,0,1
2025-03-15,2,Bacolod,BCD,16,Ninoy Aquino International,MNL,0,AirAsia,602.0,AK602,1,0,1
2025-03-15,2,Essendon,MEB,9,Portland,PTJ,10,Aeromexico,317.0,AM317,1,0,1
2025-03-15,2,Wellington International,WLG,5,Woodbourne Air Station,BHE,0,Air New Zealand,5725.0,NZ5725,1,0,1
