Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol
2025-03-15,landed,Broome,BME,,Kununurra,KNX,,Thai AirAsia,608,FD608
2025-03-15,landed,Hobart,HBA,10.0,Melbourne - Tullamarine Airport,MEL,,Qantas,1236,QF1236
2025-03-15,landed,Singapore Changi,SIN,25.0,Newark Liberty International,EWR,,Singapore Airlines,22,SQ22
2025-03-15,landed,Singapore Changi,SIN,14.0,Civil,TRZ,,Air India Express,681,IX681
2025-03-15,landed,Dushanbe,DYU,,Urumqi,URC,,Somon Air,303,SZ303
2025-03-15,landed,Adelaide International Airport,ADL,,Naracoorte,NAC,29033372.0,Thai AirAsia,574,FD574
2025-03-15,landed,Shenzhen,SZX,10.0,Suvarnabhumi International,BKK,,Thai Airways International,6455,TG6455
2025-03-15,landed,Shenzhen,SZX,10.0,Suvarnabhumi International,BKK,,Air China LTD,7979,CA7979
2025-03-15,landed,Portland,PTJ,,Essendon,MEB,,Aeromexico,317,AM317
2025-03-15,landed,Mildura,MQL,1.0,Essendon,MEB,2.0,Aeromexico,314,AM314
2025-03-15,landed,Gladstone,GLT,,Brisbane International,BNE,,Thai AirAsia,412,FD412
2025-03-15,landed,Auckland International,AKL,6.0,Kerikeri/Bay of Islands,KKE,,Singapore Airlines,4388,SQ4388
2025-03-15,landed,Auckland International,AKL,6.0,Kerikeri/Bay of Islands,KKE,,Qantas,8524,QF8524
2025-03-15,landed,Port Hedland,PHE,,Karratha,KTA,,empty,,
2025-03-15,landed,Timaru,TIU,,Wellington International,WLG,,Air New Zealand,5190,NZ5190
2025-03-15,landed,Timaru,TIU,,Wellington International,WLG,,Singapore Airlines,4568,SQ4568
2025-03-15,landed,Sardar Vallabhbhai Patel International Airport,AMD,15.0,Indira Gandhi International,DEL,,SpiceJet,1267,SG1267
2025-03-15,landed,Burnie Wynyard,BWT,2.0,Melbourne - Tullamarine Airport,MEL,,Rex Regional Express,3554,ZL3554
2025-03-15,landed,Auckland International,AKL,6.0,Kerikeri/Bay of Islands,KKE,,Air New Zealand,5266,NZ5266
2025-03-15,landed,Christchurch International,CHC,6.0,Palmerston North,PMR,,Air New Zealand,5178,NZ5178
2025-03-15,landed,Christchurch International,CHC,2.0,Auckland International,AKL,,Jetstar,228,JQ228
2025-03-15,landed,Kuala Lumpur International Airport (klia),KUL,11.0,Singapore Changi,SIN,,Scoot,451,TR451
2025-03-15,landed,Kuala Lumpur International Airport (klia),KUL,17.0,Chengdu Tianfu International Airport,TFU,,Sichuan Airlines,3994,3U3994
2025-03-15,landed,Launceston,LST,2.0,Melbourne - Tullamarine Airport,MEL,,Virgin Australia,1361,VA1361
2025-03-15,landed,Launceston,LST,,Melbourne - Tullamarine Airport,MEL,,Qantas,1512,QF1512
2025-03-15,landed,Chu-Bu Centrair International (Central Japan International),NGO,1.0,Seoul (Incheon),ICN,,Japan Airlines,6749,JL6749
2025-03-15,landed,Shimkent,CIT,,Almaty,ALA,,FlyArystan,7106,FS7106
2025-03-15,landed,Paraparaumu,PPQ,4.0,Auckland International,AKL,,Air Chathams,643,CV643
2025-03-15,landed,Wellington International,WLG,25.0,Nelson,NSN,8.0,Air New Zealand,5315,NZ5315
2025-03-15,landed,Springhill,OAG,,Sydney Kingsford Smith Airport,SYD,,Qantas,2014,QF2014
2025-03-15,landed,Bacolod,BCD,16.0,Ninoy Aquino International,MNL,,AirAsia,602,AK602
2025-03-15,landed,Melbourne - Tullamarine Airport,MEL,,Adelaide International Airport,ADL,,Qantas,673,QF673
2025-03-15,landed,Essendon,MEB,9.0,Portland,PTJ,10.0,Aeromexico,317,AM317
2025-03-15,landed,Wellington International,WLG,5.0,Woodbourne Air Station,BHE,,Air New Zealand,5725,NZ5725
2025-03-15,landed,Weifang,WEF,,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9027,CF9027
2025-03-15,landed,Chu-Bu Centrair International (Central Japan International),NGO,,Qingdao,TAO,,Shandong Airlines,2492,SC2492
2025-03-15,landed,Tamworth Regional Airport,TMW,,Sydney Kingsford Smith Airport,SYD,,Qantas,2001,QF2001
2025-03-15,landed,Hobart,HBA,,Melbourne - Tullamarine Airport,MEL,,Virgin Australia,1313,VA1313
2025-03-15,landed,,NTG,,Beijing Daxing International Airport,PKX,,JDL Airlines,2617,JG2617
2025-03-15,landed,Canberra,CBR,,Sydney Kingsford Smith Airport,SYD,,Qantas,1420,QF1420
2025-03-15,landed,Coffs Harbour,CFS,,Sydney Kingsford Smith Airport,SYD,,Qantas,2101,QF2101
2025-03-15,landed,Avalon,AVV,3.0,Sydney Kingsford Smith Airport,SYD,,Jetstar,602,JQ602
2025-03-15,landed,Canberra,CBR,6.0,Sydney Kingsford Smith Airport,SYD,,Virgin Australia,625,VA625
2025-03-15,landed,Canberra,CBR,6.0,Melbourne - Tullamarine Airport,MEL,,Qantas,961,QF961
2025-03-15,landed,Francisco Bangoy International,DVO,13.0,Ninoy Aquino International,MNL,,Cebu Pacific Air,968,5J968
2025-03-15,landed,Ninoy Aquino International,MNL,,Mactan-Cebu International,CEB,,AirAsia,775,AK775
2025-03-15,landed,Whangarei,WRE,,Auckland International,AKL,,Air New Zealand,5229,NZ5229
2025-03-15,landed,Whangarei,WRE,,Auckland International,AKL,,Singapore Airlines,4449,SQ4449
2025-03-15,landed,Palmerston North,PMR,,Auckland International,AKL,,Air New Zealand,5120,NZ5120
2025-03-15,landed,Palmerston North,PMR,,Auckland International,AKL,,Singapore Airlines,4414,SQ4414
2025-03-15,landed,Christchurch International,CHC,4.0,Auckland International,AKL,,Air New Zealand,534,NZ534
2025-03-15,landed,Nausori,SUV,2.0,Nadi International,NAN,,Fiji Airways,8,FJ8
2025-03-15,landed,Nausori,SUV,2.0,Nadi International,NAN,,Singapore Airlines,6148,SQ6148
2025-03-15,landed,Hawkes Bay,NPE,13.0,Wellington International,WLG,1.0,Air New Zealand,5883,NZ5883
2025-03-15,landed,Sydney Kingsford Smith Airport,SYD,14.0,Brisbane International,BNE,,Qantas,500,QF500
2025-03-15,landed,Sydney Kingsford Smith Airport,SYD,10.0,Melbourne - Tullamarine Airport,MEL,,Virgin Australia,800,VA800
2025-03-15,landed,Sydney Kingsford Smith Airport,SYD,5.0,Melbourne - Tullamarine Airport,MEL,,Qantas,401,QF401
2025-03-15,landed,Sydney Kingsford Smith Airport,SYD,3.0,Avalon,AVV,,Jetstar,603,JQ603
2025-03-15,landed,Sydney Kingsford Smith Airport,SYD,19.0,Melbourne - Tullamarine Airport,MEL,,Jetstar,501,JQ501
2025-03-15,landed,Auckland International,AKL,14.0,Wellington International,WLG,1.0,Air New Zealand,405,NZ405
2025-03-15,landed,Auckland International,AKL,14.0,Wellington International,WLG,1.0,Singapore Airlines,4438,SQ4438
2025-03-15,landed,Auckland International,AKL,14.0,Wellington International,WLG,1.0,Etihad Airways,4601,EY4601
2025-03-15,landed,Auckland International,AKL,14.0,Wellington International,WLG,1.0,EVA Air,3243,BR3243
2025-03-15,landed,Auckland International,AKL,8.0,Dunedin International,DUD,,Air New Zealand,671,NZ671
2025-03-15,landed,Auckland International,AKL,8.0,Dunedin International,DUD,,Singapore Airlines,4374,SQ4374
2025-03-15,landed,Auckland International,AKL,8.0,Dunedin International,DUD,,Qantas,8457,QF8457
2025-03-15,landed,Auckland International,AKL,8.0,Dunedin International,DUD,,Etihad Airways,4753,EY4753
2025-03-15,landed,Auckland International,AKL,8.0,Dunedin International,DUD,,EVA Air,3239,BR3239
2025-03-15,landed,Auckland International,AKL,12.0,Nelson,NSN,,Air New Zealand,5063,NZ5063
2025-03-15,landed,Auckland International,AKL,12.0,Nelson,NSN,,Qantas,8471,QF8471
2025-03-15,landed,Auckland International,AKL,8.0,Queenstown,ZQN,,Air New Zealand,611,NZ611
2025-03-15,landed,Auckland International,AKL,8.0,Queenstown,ZQN,,Singapore Airlines,4450,SQ4450
2025-03-15,landed,Auckland International,AKL,8.0,Queenstown,ZQN,,Qantas,8448,QF8448
2025-03-15,landed,Auckland International,AKL,8.0,Queenstown,ZQN,,Etihad Airways,4739,EY4739
2025-03-15,landed,Auckland International,AKL,8.0,Queenstown,ZQN,,EVA Air,3273,BR3273
2025-03-15,landed,Auckland International,AKL,11.0,Christchurch International,CHC,,Air New Zealand,519,NZ519
2025-03-15,landed,Auckland International,AKL,11.0,Christchurch International,CHC,,Singapore Airlines,4360,SQ4360
2025-03-15,landed,Auckland International,AKL,11.0,Christchurch International,CHC,,Qantas,8540,QF8540
2025-03-15,landed,Auckland International,AKL,11.0,Christchurch International,CHC,,Etihad Airways,4683,EY4683
2025-03-15,landed,Auckland International,AKL,11.0,Christchurch International,CHC,,EVA Air,3335,BR3335
2025-03-15,landed,Auckland International,AKL,6.0,Hawkes Bay,NPE,,Air New Zealand,5025,NZ5025
2025-03-15,landed,Auckland International,AKL,6.0,Hawkes Bay,NPE,,Qantas,8465,QF8465
2025-03-15,landed,Auckland International,AKL,9.0,Sydney Kingsford Smith Airport,SYD,,Jetstar,202,JQ202
2025-03-15,landed,Auckland International,AKL,6.0,Christchurch International,CHC,,Jetstar,225,JQ225
2025-03-15,landed,Auckland International,AKL,6.0,Christchurch International,CHC,,Qantas,5592,QF5592
2025-03-15,landed,Auckland International,AKL,6.0,Christchurch International,CHC,,Fiji Airways,5511,FJ5511
2025-03-15,landed,Hangzhou,HGH,,Shenzhen,SZX,,JDL Airlines,2679,JG2679
2025-03-15,landed,Jinan,TNA,8.0,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9075,CF9075
2025-03-15,landed,Melbourne - Tullamarine Airport,MEL,11.0,Canberra,CBR,,Qantas,962,QF962
2025-03-15,landed,Melbourne - Tullamarine Airport,MEL,14.0,Sydney Kingsford Smith Airport,SYD,,Virgin Australia,803,VA803
2025-03-15,landed,Melbourne - Tullamarine Airport,MEL,18.0,Sydney Kingsford Smith Airport,SYD,,Qantas,402,QF402
2025-03-15,landed,Melbourne - Tullamarine Airport,MEL,2.0,Sydney Kingsford Smith Airport,SYD,,Jetstar,500,JQ500
2025-03-15,landed,Mactan-Cebu International,CEB,,Ninoy Aquino International,MNL,,AirAsia,776,AK776
2025-03-15,landed,Mactan-Cebu International,CEB,,Ninoy Aquino International,MNL,,AirAsia,762,AK762
2025-03-15,landed,Mactan-Cebu International,CEB,8.0,Ninoy Aquino International,MNL,,Turkish Airlines,265,TK265
2025-03-15,landed,Tauranga,TRG,1.0,Auckland International,AKL,,Air New Zealand,5126,NZ5126
2025-03-15,landed,Tauranga,TRG,1.0,Auckland International,AKL,,Singapore Airlines,4428,SQ4428
2025-03-15,landed,Tauranga,TRG,1.0,Auckland International,AKL,,Qantas,8520,QF8520
2025-03-15,landed,Guangzhou Baiyun International,CAN,38.0,Don Muang,DMK,4.0,AirAsia,533,AK533
2025-03-15,landed,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,1.0,Ninoy Aquino International,MNL,,Cebu Pacific Air,311,5J311
2025-03-15,landed,Brisbane International,BNE,7.0,Sydney Kingsford Smith Airport,SYD,,Qantas,501,QF501
2025-03-15,landed,Beijing Capital International,PEK,14.0,Seoul (Incheon),ICN,,Xiamen Airlines,9095,MF9095
2025-03-15,landed,Invercargill,IVC,5.0,Christchurch International,CHC,,Air New Zealand,5704,NZ5704
2025-03-15,landed,Thiruvananthapuram International,TRV,5.0,Hyderabad Airport,HYD,,Air India Express,2990,IX2990
2025-03-15,landed,Kuala Lumpur International Airport (klia),KUL,11.0,Singapore Changi,SIN,,Singapore Airlines,8327,SQ8327
2025-03-15,landed,Rotorua,ROT,3.0,Auckland International,AKL,,Air New Zealand,5150,NZ5150
2025-03-15,landed,Rotorua,ROT,3.0,Auckland International,AKL,,Singapore Airlines,4421,SQ4421
2025-03-15,landed,Rotorua,ROT,3.0,Auckland International,AKL,,Qantas,8515,QF8515
2025-03-15,landed,Rotorua,ROT,3.0,Auckland International,AKL,,Etihad Airways,4532,EY4532
2025-03-15,landed,Nanchang,KHN,16.0,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9023,CF9023
2025-03-15,landed,Ngurah Rai International,DPS,,Samratulangi,MDC,,TransNusa,5888,8B5888
2025-03-15,landed,Tianhe International,WUH,7.0,Shenzhen,SZX,4.0,SF Airlines,6923,O36923
2025-03-15,landed,Shenzhen,SZX,13.0,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9037,CF9037
2025-03-15,landed,Shenzhen,SZX,10.0,Suvarnabhumi International,BKK,,Shenzhen Airlines,305,ZH305
2025-03-15,landed,Auckland International,AKL,20.0,Sydney Kingsford Smith Airport,SYD,,Qantas,140,QF140
2025-03-15,landed,Auckland International,AKL,6.0,Wellington International,WLG,,Jetstar,251,JQ251
